Time_s,F0_Hz
0.829590,NaN
0.830840,NaN
0.832090,NaN
0.833340,NaN
0.834590,NaN
0.835840,NaN
0.837090,NaN
0.838340,NaN
0.839590,NaN
0.840840,NaN
0.842090,NaN
0.843340,NaN
0.844590,NaN
0.845840,NaN
0.847090,3314.154109
0.848340,3321.003022
0.849590,3436.629785
0.850840,3565.907700
0.852090,3671.618225
0.853340,1854.922709
0.854590,1888.459087
0.855840,1921.499668
0.857090,1943.449808
0.858340,1966.152653
0.859590,2000.294837
0.860840,2044.238352
0.862090,2079.435208
0.863340,2112.925477
0.864590,2151.151194
0.865840,2188.806345
0.867090,2242.990915
0.868340,2297.358132
0.869590,2343.348247
0.870840,2392.683744
0.872090,2492.235506
0.873340,2551.050453
0.874590,2550.428854
0.875840,2397.205907
0.877090,2509.927908
0.878340,2437.319490
0.879590,2471.216732
0.880840,2462.735593
0.882090,2498.319956
0.883340,2414.462571
0.884590,2366.079286
0.885840,2418.478263
0.887090,1927.820257
0.888340,1975.206960
0.889590,1968.522387
0.890840,2297.952968
0.892090,2334.429781
0.893340,2666.511807
0.894590,2496.716546
0.895840,2358.504389
0.897090,2326.517324
0.898340,2340.829498
0.899590,2362.511778
0.900840,2393.103804
0.902090,2400.836041
0.903340,2408.916995
0.904590,2442.318781
0.905840,2501.106403
0.907090,2558.063385
0.908340,2611.188582
0.909590,2458.267845
0.910840,2428.081865
0.912090,2450.399742
0.913340,2539.619476
0.914590,2467.672075
0.915840,2473.848474
0.917090,2473.756565
0.918340,2484.378819
0.919590,2438.921862
0.920840,3348.417598
0.922090,2324.674687
0.923340,2272.207800
0.924590,2249.200797
0.925840,2258.643115
0.927090,2289.207979
0.928340,2315.372022
0.929590,2343.383160
0.930840,2398.100812
0.932090,2417.319188
0.933340,2459.836674
0.934590,2509.861013
0.935840,2539.513355
0.937090,2574.660654
0.938340,2586.192246
0.939590,2665.585165
0.940840,2665.276196
0.942090,2578.878543
0.943340,2577.459539
0.944590,2553.650140
0.945840,2621.998986
0.947090,2684.025259
0.948340,NaN
0.949590,NaN
0.950840,NaN
0.952090,NaN
0.953340,NaN
0.954590,NaN
0.955840,NaN
0.957090,NaN
0.958340,NaN
0.959590,NaN
0.960840,NaN
0.962090,NaN
0.963340,NaN
0.964590,NaN
0.965840,NaN
0.967090,NaN
0.968340,NaN
0.969590,NaN
0.970840,NaN
0.972090,NaN
0.973340,NaN
0.974590,NaN
0.975840,NaN
0.977090,NaN
0.978340,NaN
0.979590,NaN
0.980840,NaN
0.982090,NaN
0.983340,NaN
0.984590,NaN
0.985840,NaN
0.987090,NaN
0.988340,NaN
0.989590,NaN
0.990840,NaN
0.992090,NaN
0.993340,NaN
0.994590,NaN
0.995840,NaN
0.997090,NaN
0.998340,NaN
0.999590,NaN
1.000840,NaN
1.002090,NaN
1.003340,NaN
1.004590,NaN
1.005840,NaN
1.007090,NaN
1.008340,NaN
1.009590,NaN
1.010840,NaN
1.012090,NaN
1.013340,NaN
1.014590,NaN
1.015840,NaN
1.017090,NaN
1.018340,NaN
1.019590,NaN
1.020840,NaN
1.022090,NaN
1.023340,NaN
1.024590,NaN
1.025840,NaN
1.027090,NaN
1.028340,NaN
1.029590,NaN
1.030840,NaN
1.032090,NaN
1.033340,NaN
1.034590,NaN
1.035840,3684.243505
1.037090,3326.638484
1.038340,3385.974593
1.039590,3516.967169
1.040840,3611.637374
1.042090,3635.856123
1.043340,1876.295360
1.044590,1927.439538
1.045840,1975.373904
1.047090,2030.506891
1.048340,2079.330871
1.049590,2129.362664
1.050840,2162.724943
1.052090,2205.283811
1.053340,2242.182484
1.054590,2278.006810
1.055840,2297.962775
1.057090,2312.238201
1.058340,2334.736904
1.059590,2367.845572
1.060840,2383.194597
1.062090,2409.541081
1.063340,2494.279133
1.064590,2610.253407
1.065840,2608.157963
1.067090,1757.930237
1.068340,2471.746543
1.069590,2400.268006
1.070840,2357.742804
1.072090,2400.894362
1.073340,2478.203665
1.074590,2342.210299
1.075840,1937.160974
1.077090,2066.688028
1.078340,1902.160971
1.079590,3490.290775
1.080840,3114.264485
1.082090,2692.821766
1.083340,2632.719584
