Time_s,F0_Hz
0.539947,nan
0.540697,nan
0.541447,nan
0.542197,nan
0.542947,nan
0.543697,nan
0.544447,nan
0.545197,nan
0.545947,nan
0.546697,nan
0.547447,nan
0.548197,nan
0.548947,nan
0.549697,nan
0.550447,nan
0.551197,nan
0.551947,nan
0.552697,nan
0.553447,nan
0.554197,nan
0.554947,nan
0.555697,nan
0.556447,nan
0.557197,1295.820013
0.557947,1361.041268
0.558697,1383.987105
0.559447,1457.397364
0.560197,1557.884295
0.560947,1553.142810
0.561697,1565.960077
0.562447,1648.221497
0.563197,1667.421803
0.563947,1711.783409
0.564697,1753.725731
0.565447,1869.894628
0.566197,1839.872830
0.566947,1877.732486
0.567697,1970.264078
0.568447,1967.591993
0.569197,2026.349927
0.569947,2075.939134
0.570697,2068.062465
0.571447,2111.779120
0.572197,2100.773942
0.572947,2112.289113
0.573697,2121.111898
0.574447,2160.690592
0.575197,2130.659077
0.575947,2176.929045
0.576697,2185.354539
0.577447,2204.026696
0.578197,2216.010707
0.578947,2221.015465
0.579697,2252.372447
0.580447,2251.344009
0.581197,2303.702726
0.581947,2285.650129
0.582697,2292.822890
0.583447,2340.499863
0.584197,2361.405829
0.584947,2371.213285
0.585697,2397.288241
0.586447,2423.904014
0.587197,2508.333589
0.587947,2541.849635
0.588697,2544.071725
0.589447,2675.972470
0.590197,2888.105023
0.590947,3012.939755
0.591697,3382.904980
0.592447,3673.002999
0.593197,3643.363027
0.593947,nan
0.594697,nan
0.595447,nan
0.596197,nan
0.596947,nan
0.597697,nan
0.598447,nan
0.599197,nan
0.599947,nan
0.600697,nan
0.601447,nan
0.602197,nan
0.602947,nan
0.603697,nan
0.604447,2960.742274
0.605197,2814.237859
0.605947,2685.339925
0.606697,2320.484061
0.607447,2173.281155
0.608197,2100.269110
0.608947,2146.291800
0.609697,2175.148975
0.610447,2204.046485
0.611197,2214.249104
0.611947,2227.797020
0.612697,2252.906740
0.613447,2298.201632
0.614197,2296.389236
0.614947,2366.840941
0.615697,2381.600424
0.616447,2457.699551
0.617197,2615.262726
0.617947,2668.147105
0.618697,2767.090460
0.619447,2881.992332
0.620197,2809.585024
0.620947,2849.294153
0.621697,2947.232946
0.622447,3047.778343
0.623197,3331.952864
0.623947,3585.593955
0.624697,3645.884789
0.625447,3639.555007
0.626197,3402.120271
0.626947,3147.860761
0.627697,nan
0.628447,nan
0.629197,nan
0.629947,nan
0.630697,nan
0.631447,nan
0.632197,nan
0.632947,nan
0.633697,nan
0.634447,3099.518595
0.635197,3017.891684
0.635947,2947.779748
0.636697,2790.656871
0.637447,2793.237682
0.638197,2717.324962
0.638947,3010.351465
0.639697,2975.394402
0.640447,2173.090606
0.641197,2146.515453
0.641947,2185.406167
0.642697,2181.466654
0.643447,2182.358553
0.644197,2260.178936
0.644947,2222.890397
0.645697,2277.352407
0.646447,2295.170000
0.647197,2228.405798
0.647947,2277.459968
0.648697,2255.408722
0.649447,2249.111442
0.650197,2252.710508
0.650947,2239.704574
0.651697,2252.424284
0.652447,2172.567890
0.653197,2176.403333
0.653947,2131.490915
0.654697,2061.584990
0.655447,2022.254506
0.656197,1970.297787
0.656947,1848.604961
0.657697,1704.089707
0.658447,1625.357629
0.659197,1550.876005
0.659947,1500.200009
0.660697,1319.841608
0.661447,1175.027471
0.662197,1132.088002
0.662947,1107.776009
0.663697,1033.211326
0.664447,nan
0.665197,nan
0.665947,nan
0.666697,nan
0.667447,nan
0.668197,nan
0.668947,nan
0.669697,nan
0.670447,nan
0.671197,nan
0.671947,nan
0.672697,nan
0.673447,nan
0.674197,nan
0.674947,nan
0.675697,nan
0.676447,nan
0.677197,nan
0.677947,nan
0.678697,nan
0.679447,nan
0.680197,nan
0.680947,nan
