Time_s,F0_Hz
0.830276,NaN
0.831526,NaN
0.832776,NaN
0.834026,NaN
0.835276,NaN
0.836526,NaN
0.837776,NaN
0.839026,NaN
0.840276,NaN
0.841526,NaN
0.842776,NaN
0.844026,NaN
0.845276,NaN
0.846526,NaN
0.847776,NaN
0.849026,NaN
0.850276,NaN
0.851526,NaN
0.852776,NaN
0.854026,NaN
0.855276,NaN
0.856526,1933.307097
0.857776,1955.345744
0.859026,1982.711324
0.860276,2024.631011
0.861526,2064.644436
0.862776,2096.305690
0.864026,2136.294021
0.865276,2169.590173
0.866526,2217.024361
0.867776,2273.299956
0.869026,2324.210033
0.870276,2365.315389
0.871526,NaN
0.872776,NaN
0.874026,NaN
0.875276,NaN
0.876526,NaN
0.877776,NaN
0.879026,NaN
0.880276,NaN
0.881526,NaN
0.882776,NaN
0.884026,NaN
0.885276,NaN
0.886526,NaN
0.887776,NaN
0.889026,NaN
0.890276,NaN
0.891526,NaN
0.892776,NaN
0.894026,NaN
0.895276,2412.802895
0.896526,2329.276611
0.897776,2333.144321
0.899026,2351.471113
0.900276,2379.635742
0.901526,2400.533179
0.902776,2402.291913
0.904026,2424.956397
0.905276,2471.572843
0.906526,2533.416159
0.907776,NaN
0.909026,NaN
0.910276,NaN
0.911526,NaN
0.912776,NaN
0.914026,NaN
0.915276,NaN
0.916526,NaN
0.917776,NaN
0.919026,NaN
0.920276,NaN
0.921526,NaN
0.922776,2293.828991
0.924026,2255.500275
0.925276,2249.931201
0.926526,2275.277359
0.927776,2304.098996
0.929026,2329.008171
0.930276,2370.128460
0.931526,2414.564664
0.932776,2430.919237
0.934026,2499.951952
0.935276,2519.526833
0.936526,2566.224210
0.937776,2576.107911
0.939026,2620.328139
0.940276,2701.278537
0.941526,2590.900570
0.942776,NaN
0.944026,NaN
0.945276,NaN
0.946526,NaN
0.947776,NaN
0.949026,NaN
0.950276,NaN
0.951526,NaN
0.952776,NaN
0.954026,NaN
0.955276,2206.817289
0.956526,2115.914006
0.957776,1918.534204
0.959026,1816.212911
0.960276,1742.129683
0.961526,1679.620373
0.962776,1627.977933
0.964026,1585.662126
0.965276,1501.861999
0.966526,1851.445917
0.967776,1816.409444
0.969026,1806.131771
0.970276,NaN
0.971526,NaN
0.972776,NaN
0.974026,NaN
0.975276,NaN
0.976526,NaN
0.977776,NaN
0.979026,NaN
0.980276,NaN
0.981526,NaN
0.982776,NaN
0.984026,NaN
0.985276,NaN
0.986526,NaN
0.987776,NaN
0.989026,NaN
0.990276,NaN
0.991526,NaN
0.992776,NaN
0.994026,NaN
0.995276,NaN
0.996526,NaN
0.997776,NaN
0.999026,NaN
1.000276,NaN
1.001526,NaN
1.002776,NaN
1.004026,NaN
1.005276,NaN
1.006526,NaN
1.007776,NaN
1.009026,NaN
1.010276,NaN
1.011526,NaN
1.012776,NaN
1.014026,NaN
1.015276,NaN
1.016526,NaN
1.017776,NaN
1.019026,NaN
1.020276,NaN
1.021526,NaN
1.022776,NaN
1.024026,NaN
1.025276,NaN
1.026526,NaN
1.027776,NaN
1.029026,NaN
1.030276,NaN
1.031526,NaN
1.032776,NaN
1.034026,NaN
1.035276,NaN
1.036526,NaN
1.037776,1683.951829
1.039026,1733.188300
1.040276,1800.021817
1.041526,1833.087476
1.042776,1859.450221
1.044026,1904.097887
1.045276,1954.457168
1.046526,2003.848903
1.047776,2058.527335
1.049026,2108.244176
1.050276,2147.422742
1.051526,2185.285110
1.052776,2226.238383
1.054026,2262.058345
1.055276,2292.571070
1.056526,2303.767548
1.057776,2324.622370
1.059026,2352.067891
1.060276,2377.432140
1.061526,2394.004289
1.062776,2444.571857
1.064026,NaN
1.065276,NaN
1.066526,NaN
1.067776,NaN
1.069026,NaN
1.070276,NaN
1.071526,NaN
1.072776,NaN
1.074026,NaN
1.075276,NaN
1.076526,NaN
1.077776,NaN
1.079026,NaN
1.080276,NaN
1.081526,NaN
1.082776,NaN
1.084026,2506.004010
1.085276,2392.151357
1.086526,2381.548017
1.087776,2426.165243
