Time_s,F0_Hz
0.780741,NaN
0.781991,NaN
0.783241,NaN
0.784491,NaN
0.785741,NaN
0.786991,NaN
0.788241,NaN
0.789491,NaN
0.790741,NaN
0.791991,NaN
0.793241,NaN
0.794491,NaN
0.795741,NaN
0.796991,NaN
0.798241,NaN
0.799491,NaN
0.800741,NaN
0.801991,NaN
0.803241,NaN
0.804491,NaN
0.805741,NaN
0.806991,NaN
0.808241,NaN
0.809491,NaN
0.810741,NaN
0.811991,NaN
0.813241,NaN
0.814491,NaN
0.815741,NaN
0.816991,NaN
0.818241,NaN
0.819491,NaN
0.820741,NaN
0.821991,NaN
0.823241,NaN
0.824491,NaN
0.825741,NaN
0.826991,NaN
0.828241,NaN
0.829491,NaN
0.830741,NaN
0.831991,NaN
0.833241,NaN
0.834491,NaN
0.835741,NaN
0.836991,NaN
0.838241,NaN
0.839491,1658.549696
0.840741,1709.989966
0.841991,1735.514226
0.843241,1447.507289
0.844491,1478.059963
0.845741,1564.634652
0.846991,1632.346979
0.848241,1682.003996
0.849491,1728.575407
0.850741,1772.683633
0.851991,1810.622521
0.853241,1811.483824
0.854491,1795.653614
0.855741,1821.202107
0.856991,1906.107459
0.858241,1928.726715
0.859491,1972.180631
0.860741,2001.438557
0.861991,2046.193668
0.863241,2064.186873
0.864491,2089.419732
0.865741,2183.295552
0.866991,2232.155996
0.868241,2302.158918
0.869491,2357.846587
0.870741,2397.524502
0.871991,2512.177489
0.873241,2667.814131
0.874491,2767.238203
0.875741,2902.002037
0.876991,3191.686932
0.878241,NaN
0.879491,NaN
0.880741,NaN
0.881991,NaN
0.883241,NaN
0.884491,NaN
0.885741,NaN
0.886991,NaN
0.888241,NaN
0.889491,NaN
0.890741,3062.934653
0.891991,2812.480458
0.893241,2828.407445
0.894491,2717.107983
0.895741,2503.312260
0.896991,2342.366159
0.898241,2358.359836
0.899491,2368.349943
0.900741,2400.320084
0.901991,2408.404619
0.903241,2428.766338
0.904491,2444.178345
0.905741,2503.717570
0.906991,2746.243925
0.908241,2866.794868
0.909491,2503.355250
0.910741,2506.467932
0.911991,3048.534335
0.913241,3170.686623
0.914491,3266.676362
0.915741,3288.698036
0.916991,3185.568386
0.918241,3179.846271
0.919491,3143.005608
0.920741,3135.041411
0.921991,3024.057556
0.923241,2679.189611
0.924491,2250.034508
0.925741,2267.416776
0.926991,2289.822247
0.928241,2320.454755
0.929491,2352.044606
0.930741,2397.968466
0.931991,2437.877337
0.933241,2485.182799
0.934491,2524.609026
0.935741,2576.604206
0.936991,2583.465275
0.938241,2591.766303
0.939491,2718.180694
0.940741,3087.056538
0.941991,3206.380511
0.943241,3163.738891
0.944491,3126.104976
0.945741,3196.908508
0.946991,3263.452353
0.948241,3374.962870
0.949491,3145.536858
0.950741,3411.536599
0.951991,3427.929633
0.953241,3162.837672
0.954491,3103.778757
0.955741,3326.222299
0.956991,3595.150059
0.958241,3586.585421
0.959491,3530.975197
0.960741,3458.239364
0.961991,3343.500778
0.963241,3250.978377
0.964491,3240.745976
0.965741,3284.316726
0.966991,3447.943556
0.968241,3479.096237
0.969491,3423.829961
0.970741,3294.656630
0.971991,3219.778441
0.973241,3507.693288
0.974491,3544.625078
0.975741,3559.935442
0.976991,3619.649750
0.978241,3581.703414
0.979491,3543.440652
0.980741,NaN
0.981991,NaN
0.983241,NaN
0.984491,NaN
0.985741,NaN
0.986991,NaN
0.988241,NaN
0.989491,NaN
0.990741,NaN
0.991991,NaN
0.993241,NaN
0.994491,NaN
0.995741,NaN
0.996991,NaN
0.998241,NaN
0.999491,NaN
1.000741,NaN
1.001991,NaN
1.003241,NaN
1.004491,NaN
1.005741,NaN
1.006991,NaN
1.008241,NaN
1.009491,NaN
1.010741,NaN
1.011991,NaN
1.013241,NaN
1.014491,NaN
1.015741,NaN
1.016991,NaN
1.018241,NaN
1.019491,NaN
1.020741,NaN
1.021991,NaN
1.023241,NaN
1.024491,NaN
1.025741,NaN
1.026991,NaN
1.028241,NaN
1.029491,NaN
1.030741,1743.416184
1.031991,1744.198270
1.033241,1723.880396
1.034491,1529.912519
1.035741,1588.737344
1.036991,1659.256443
1.038241,1710.967790
1.039491,1759.912853
1.040741,1804.209015
1.041991,1806.211714
1.043241,1795.488044
1.044491,1810.912946
1.045741,1842.075700
1.046991,1885.754382
1.048241,1996.561464
1.049491,1860.138563
1.050741,1881.598758
1.051991,2114.414393
1.053241,2178.475684
1.054491,2222.152099
1.055741,2289.176077
1.056991,2310.491625
1.058241,2328.701270
1.059491,2362.981850
1.060741,2386.023021
1.061991,2415.745229
1.063241,2513.860843
1.064491,2759.497592
1.065741,3128.179422
1.066991,3350.269807
1.068241,2967.948128
1.069491,2523.974200
1.070741,2691.044778
1.071991,3027.362918
1.073241,3315.153504
1.074491,NaN
1.075741,NaN
1.076991,NaN
1.078241,3376.808213
1.079491,3331.595340
1.080741,3048.646371
1.081991,2848.688645
1.083241,2701.508051
1.084491,2558.500652
1.085741,2458.412418
1.086991,2391.055536
1.088241,2441.038558
1.089491,2475.504709
1.090741,2522.092855
1.091991,2542.288403
1.093241,2550.734865
1.094491,2722.795445
1.095741,3160.407512
1.096991,3346.530031
1.098241,3345.353980
1.099491,3261.503440
1.100741,3242.722858
1.101991,3144.356279
1.103241,NaN
1.104491,NaN
1.105741,NaN
1.106991,NaN
1.108241,3383.876255
1.109491,3171.361462
1.110741,3177.114096
1.111991,3205.642151
1.113241,1896.059769
1.114491,2017.693683
1.115741,1886.017575
1.116991,1784.580691
1.118241,1826.747982
1.119491,1814.373700
1.120741,1786.921621
1.121991,3502.248905
1.123241,3430.530157
1.124491,3399.090589
1.125741,3522.796373
1.126991,3462.560297
1.128241,3308.489181
1.129491,3129.607653
1.130741,2955.881611
1.131991,3354.804111
1.133241,3475.055758
1.134491,3471.104393
1.135741,3498.453335
1.136991,3512.336865
1.138241,NaN
1.139491,NaN
1.140741,NaN
1.141991,NaN
1.143241,NaN
1.144491,NaN
1.145741,NaN
1.146991,NaN
1.148241,NaN
1.149491,NaN
1.150741,NaN
1.151991,NaN
1.153241,NaN
1.154491,NaN
1.155741,NaN
1.156991,NaN
1.158241,NaN
1.159491,NaN
1.160741,NaN
1.161991,NaN
1.163241,NaN
1.164491,NaN
1.165741,NaN
1.166991,NaN
1.168241,NaN
1.169491,NaN
1.170741,NaN
1.171991,NaN
1.173241,NaN
1.174491,NaN
1.175741,NaN
1.176991,NaN
1.178241,NaN
1.179491,NaN
1.180741,NaN
1.181991,NaN
1.183241,NaN
1.184491,NaN
1.185741,NaN
1.186991,NaN
1.188241,NaN
1.189491,NaN
1.190741,1761.505031
1.191991,1694.057160
1.193241,1732.113191
1.194491,1756.132606
1.195741,1629.478023
1.196991,1607.379830
1.198241,1683.318692
1.199491,1736.970158
1.200741,1779.489054
1.201991,1806.458016
1.203241,1805.780143
1.204491,1801.164147
1.205741,1818.441956
1.206991,1841.654788
1.208241,1890.847415
1.209491,1942.275241
1.210741,1919.255586
1.211991,1956.546702
1.213241,1969.314972
1.214491,1974.374192
1.215741,2112.564590
1.216991,2253.328053
1.218241,2277.830350
1.219491,2303.048529
1.220741,2355.743623
1.221991,2396.458144
1.223241,2444.315742
1.224491,2528.265968
1.225741,2765.335593
1.226991,3201.677606
1.228241,3270.879066
1.229491,3077.006658
1.230741,2716.341711
1.231991,3302.941187
1.233241,3528.806607
1.234491,3456.773407
1.235741,3432.960058
1.236991,NaN
1.238241,NaN
1.239491,NaN
1.240741,1167.179585
1.241991,1169.737700
1.243241,1175.381161
1.244491,1224.324102
1.245741,1183.026329
1.246991,1163.988888
1.248241,1167.032489
1.249491,2350.973472
1.250741,2385.161929
1.251991,2427.667936
1.253241,2464.687100
1.254491,2508.795427
1.255741,2545.037707
1.256991,2562.909941
1.258241,2652.757047
1.259491,3033.308436
1.260741,3223.443441
1.261991,3059.361298
1.263241,2851.893267
1.264491,2947.263770
1.265741,3126.840783
1.266991,3087.044666
1.268241,3150.599350
1.269491,3075.527753
1.270741,3288.993980
1.271991,3269.777771
1.273241,3119.909005
1.274491,3041.263803
1.275741,2622.428894
1.276991,2252.940643
1.278241,2251.481586
1.279491,2186.330972
1.280741,1928.338123
1.281991,1848.006910
1.283241,1825.016559
1.284491,1806.083285
1.285741,1766.965029
1.286991,1725.700408
1.288241,1654.086052
1.289491,1656.680421
1.290741,1675.360210
