nombre,t_inicial,t_final,frec_min,frec_max,silence_th,voicing,octave_cost,octave_jump_cost,voiced_cost,restantes
HA061020041409-solo.wav,2.59,3.38,900.0,3800.0,0.07,0.1,0.05,0.3,0.2,"[1.0, 1.61, 0.0, 0.0]"
HA090920041347-solo.wav,0.77,0.98,900.0,3300.0,0.06,0.17,0.1,0.05,0.06,"[1.0, 0.8, None, None]"
HA090920041347-solo.wav,1.64,1.83,900.0,3300.0,0.07,0.17,0.1,0.1,0.06,"[0.0, 0.8, None, None]"
HA090920041347-solo.wav,1.64,1.83,600.0,3300.0,0.07,0.17,0.1,0.1,0.06,"[1.0, 0.0, None, None]"
HA280920041338-solo.wav,1.7,1.81,600.0,3800.0,0.1,0.1,0.01,0.1,0.06,"[1.0, 0.0, None, None]"
HA280920041338-solo.wav,2.38,2.975,900.0,3800.0,0.08,0.1,0.05,0.27,0.1,"[1.0, 0.0, None, None]"
HA090920041649.wav,1.486,1.84,900.0,4000.0,0.09,0.1,0.1,0.2,0.1,"[1.0, 0.0, None, None]"
HA140920041149.wav,1.35,2.66,900.0,4200.0,0.05,0.17,0.15,0.1,0.3,"[1.0, 0.0, None, None]"
HA140920041337.wav,2.15,2.83,900.0,4500.0,0.06,0.15,0.045,0.07,0.03,"[0.0, 0.0, None, None]"
HA140920041337.wav,1.06,1.2,900.0,4500.0,0.05,0.15,0.03,0.07,0.03,"[0.0, 0.0, None, None]"
HA140920041337.wav,1.78,1.88,900.0,4200.0,0.05,0.15,0.1,0.05,0.1,"[1.0, 1.0, None, None]"
HA140920041337.wav,1.277,1.42,900.0,3900.0,0.06,0.15,0.65,0.05,0.004,"[1.0, 0.0, None, None]"
HA140920041337.wav,1.41,1.53,900.0,3900.0,0.08,0.1,0.13,0.06,0.1,"[1.0, 1.0, None, None]"
HA230920041349.wav,1.59,2.71,900.0,3700.0,0.05,0.17,0.05,0.2,0.06,"[1.0, 0.0, None, None]"
HA230920041349.wav,1.75,2.71,900.0,3700.0,0.1,0.17,0.01,0.07,0.06,"[1.0, 0.0, None, None]"
HA230920041435b.wav,1.14,2.36,900.0,3500.0,0.07,0.17,0.01,0.07,0.09,"[1.0, 0.0, None, None]"
HA280920041153.wav,0.54,1.35,900.0,3600.0,0.04,0.17,0.01,0.2,0.1,"[1.0, 0.54, None, None]"
HA280920041153.wav,1.59,1.87,900.0,3600.0,0.04,0.17,0.0001,0.2,0.1,"[1.0, 0.54, None, None]"
HA280920041232-solo.wav,0.82,1.85,600.0,3700.0,0.03,0.17,0.02,0.2,0.1,"[1.0, 0.0, None, None]"
HA280920041353-solo.wav,1.57,2.52,900.0,3800.0,0.03,0.17,0.001,0.2,0.1,"[1.0, 1.0, None, None]"
HA280920041419-solo.wav,2.07,2.2,900.0,4500.0,0.05,0.02,0.1,0.09,0.03,"[0.0, 0.0, None, None]"
HA280920041419-solo.wav,1.88,2.0,900.0,4500.0,0.05,0.02,0.1,0.08,0.03,"[0.0, 0.0, None, None]"
HA061220041755.wav,1.07,1.46,900.0,4500.0,0.05,0.02,0.17,0.04,0.02,"[0.0, 0.0, None, None]"
HA061220041812.wav,1.75,2.1,600.0,4200.0,0.03,0.025,0.017,0.05,0.05,"[1.0, 0.0, None, None]"
HB121120041436-solo-hembra.wav,1.36,1.52,600.0,4500.0,0.06,0.025,0.013,0.06,0.1,"[0.0, 0.0, None, None]"
HB151120041104.wav,2.36,2.5,900.0,4500.0,0.06,0.02,0.22,0.02,0.05,"[0.0, 0.0, None, None]"
HB271220041018-solo-pichon.wav,10.64,10.84,600.0,4100.0,0.07,0.025,0.001,0.14,0.2,"[1.0, 0.0, None, None]"
HB271220041018-solo-pichon.wav,10.92,11.1,600.0,4100.0,0.06,0.025,0.1,0.4,0.2,"[1.0, 0.0, None, None]"
HB100120051644.wav,45.77,45.89,900.0,4500.0,0.06,0.025,0.14,0.11,0.2,"[0.0, 0.0, None, None]"
H19-031020040851.wav,9.093,9.207,900.0,4500.0,0.05,0.025,0.1,0.1,0.05,"[0.0, 0.0, None, None]"
H19-031020040851.wav,9.25,9.37,900.0,4500.0,0.05,0.025,0.1,0.06,0.05,"[0.0, 0.0, None, None]"
H19-031020040851.wav,9.4,9.52,900.0,4500.0,0.034,0.025,0.2,0.21,0.4,"[0.0, 0.0, None, None]"
H19-031020040851.wav,9.57,9.67,900.0,4500.0,0.01,0.025,0.1,0.2,0.3,"[0.0, 0.0, None, None]"
H19-031020041016.wav,0.82,0.93,600.0,4300.0,0.06,0.01,0.01,0.3,0.1,"[1.0, 0.0, None, None]"
H19-031020041016.wav,1.63,1.76,900.0,4300.0,0.06,0.01,0.01,0.23,0.1,"[1.0, 0.0, None, None]"
H23-031020041549.wav,0.54,1.23,900.0,4500.0,0.09,0.025,0.1,0.05,0.03,"[0.0, 0.0, None, None]"
H34-031020041147.wav,1.64,1.78,900.0,4500.0,0.07,0.03,0.01,0.03,0.1,"[0.0, 0.0, None, None]"
