Time_s   F0_Hz
0.397582   nan
0.398332   nan
0.399082   nan
0.399832   nan
0.400582   nan
0.401332   nan
0.402082   nan
0.402832   nan
0.403582   nan
0.404332   nan
0.405082   nan
0.405832   nan
0.406582   nan
0.407332   nan
0.408082   nan
0.408832   nan
0.409582   nan
0.410332   nan
0.411082   nan
0.411832   nan
0.412582   nan
0.413332   nan
0.414082   nan
0.414832   nan
0.415582   nan
0.416332   nan
0.417082   nan
0.417832   nan
0.418582   nan
0.419332   nan
0.420082   nan
0.420832   nan
0.421582   nan
0.422332   nan
0.423082   nan
0.423832   nan
0.424582   nan
0.425332   nan
0.426082   nan
0.426832   nan
0.427582   nan
0.428332   nan
0.429082   nan
0.429832   nan
0.430582   nan
0.431332   nan
0.432082   nan
0.432832   nan
0.433582   nan
0.434332   nan
0.435082   nan
0.435832   nan
0.436582   nan
0.437332   nan
0.438082   nan
0.438832   nan
0.439582   nan
0.440332   nan
0.441082   nan
0.441832   nan
0.442582   nan
0.443332   nan
0.444082   nan
0.444832   nan
0.445582   nan
0.446332   nan
0.447082   nan
0.447832   nan
0.448582   nan
0.449332   nan
0.450082   nan
0.450832   nan
0.451582   nan
0.452332   nan
0.453082   nan
0.453832   nan
0.454582   nan
0.455332   nan
0.456082   nan
0.456832   nan
0.457582   nan
0.458332   nan
0.459082   nan
0.459832   nan
0.460582   nan
0.461332   nan
0.462082   nan
0.462832   nan
0.463582   nan
0.464332   nan
0.465082   nan
0.465832   nan
0.466582   nan
0.467332   nan
0.468082   nan
0.468832   nan
0.469582   nan
0.470332   1599.225437
0.471082   1557.093913
0.471832   1603.603473
0.472582   1623.325826
0.473332   1619.246291
0.474082   1664.663649
0.474832   1631.219262
0.475582   1644.160677
0.476332   1687.378253
0.477082   1674.719481
0.477832   1725.999908
0.478582   1704.178312
0.479332   1755.321828
0.480082   1823.406305
0.480832   1846.112007
0.481582   1943.914530
0.482332   2143.462289
0.483082   2226.531334
0.483832   2222.487162
0.484582   2249.371236
0.485332   2327.611543
0.486082   2351.640380
0.486832   2327.186623
0.487582   2334.677613
0.488332   2294.808538
0.489082   2275.949021
0.489832   2116.818424
0.490582   1807.859920
0.491332   1801.868187
0.492082   1745.479169
0.492832   nan
0.493582   nan
0.494332   nan
0.495082   nan
0.495832   nan
0.496582   nan
0.497332   nan
0.498082   nan
0.498832   nan
0.499582   nan
0.500332   nan
0.501082   nan
0.501832   nan
0.502582   nan
0.503332   nan
0.504082   nan
0.504832   nan
0.505582   nan
0.506332   nan
0.507082   nan
0.507832   nan
0.508582   nan
0.509332   nan
0.510082   nan
0.510832   nan
0.511582   nan
0.512332   nan
0.513082   nan
0.513832   nan
0.514582   nan
0.515332   nan
0.516082   nan
0.516832   nan
0.517582   nan
0.518332   nan
0.519082   nan
0.519832   nan
0.520582   nan
0.521332   nan
0.522082   nan
0.522832   nan
0.523582   nan
0.524332   nan
0.525082   nan
0.525832   nan
0.526582   nan
0.527332   nan
0.528082   nan
0.528832   nan
0.529582   nan
0.530332   nan
0.531082   nan
0.531832   nan
0.532582   nan
0.533332   nan
0.534082   nan
0.534832   nan
0.535582   nan
0.536332   nan
0.537082   nan
0.537832   nan
0.538582   nan
0.539332   nan
0.540082   nan
0.540832   nan
0.541582   nan
0.542332   nan
0.543082   nan
0.543832   nan
0.544582   nan
0.545332   nan
0.546082   nan
0.546832   nan
0.547582   nan
0.548332   nan
0.549082   nan
0.549832   nan
0.550582   nan
0.551332   nan
0.552082   nan
0.552832   nan
0.553582   nan
0.554332   nan
0.555082   nan
0.555832   nan
0.556582   nan
0.557332   nan
0.558082   nan
0.558832   nan
0.559582   nan
0.560332   nan
0.561082   nan
0.561832   1228.122004
0.562582   1268.943887
0.563332   1294.350320
0.564082   1329.703534
0.564832   1370.400315
0.565582   1386.532087
0.566332   1418.876122
0.567082   1448.363174
0.567832   1491.709454
0.568582   1503.695622
0.569332   1562.111508
0.570082   1591.809519
0.570832   1614.572304
0.571582   1611.048688
0.572332   1639.771694
0.573082   1643.937185
0.573832   1629.585423
0.574582   1664.912006
0.575332   1703.658711
0.576082   1710.804969
0.576832   1681.606399
0.577582   1712.440537
0.578332   1695.695997
0.579082   1724.065895
0.579832   1719.798563
0.580582   1773.995716
0.581332   1783.512326
0.582082   1827.048344
0.582832   1940.233938
0.583582   2027.266084
0.584332   2029.288599
0.585082   2053.742341
0.585832   2121.589002
0.586582   2159.157800
0.587332   2243.024859
0.588082   2382.756357
0.588832   2565.431135
0.589582   2720.772868
0.590332   2901.902626
0.591082   2927.890314
0.591832   2971.711773
0.592582   2936.330062
0.593332   2954.676018
0.594082   2938.417039
0.594832   2949.131838
0.595582   2943.262784
0.596332   2905.397947
0.597082   2907.049184
0.597832   2827.634193
0.598582   2741.705062
0.599332   2502.450150
0.600082   nan
0.600832   nan
0.601582   nan
0.602332   nan
0.603082   nan
0.603832   nan
0.604582   nan
0.605332   nan
0.606082   nan
0.606832   nan
0.607582   nan
0.608332   nan
0.609082   nan
0.609832   nan
0.610582   nan
0.611332   nan
0.612082   nan
0.612832   nan
0.613582   nan
0.614332   nan
0.615082   nan
0.615832   nan
0.616582   nan
0.617332   nan
0.618082   nan
0.618832   nan
0.619582   nan
0.620332   nan
0.621082   nan
0.621832   nan
0.622582   nan
0.623332   nan
0.624082   nan
0.624832   nan
0.625582   nan
0.626332   nan
0.627082   nan
0.627832   nan
0.628582   nan
0.629332   nan
0.630082   nan
0.630832   nan
0.631582   nan
0.632332   nan
0.633082   nan
0.633832   nan
0.634582   nan
0.635332   nan
0.636082   nan
0.636832   nan
0.637582   nan
0.638332   nan
0.639082   nan
0.639832   nan
0.640582   nan
0.641332   nan
0.642082   nan
0.642832   nan
0.643582   nan
0.644332   nan
0.645082   nan
0.645832   nan
0.646582   nan
0.647332   nan
0.648082   nan
0.648832   nan
0.649582   nan
0.650332   nan
0.651082   nan
0.651832   nan
0.652582   nan
0.653332   nan
0.654082   nan
0.654832   nan
0.655582   nan
0.656332   nan
0.657082   nan
0.657832   nan
0.658582   nan
0.659332   nan
0.660082   nan
0.660832   nan
0.661582   nan
0.662332   nan
0.663082   1273.532185
0.663832   1314.935023
0.664582   1350.804693
0.665332   1355.235298
0.666082   1368.562652
0.666832   1419.411393
0.667582   1497.744537
0.668332   1508.401297
0.669082   1511.480266
0.669832   1540.067067
0.670582   1588.680138
0.671332   1612.786449
0.672082   1610.922058
0.672832   1649.860523
0.673582   1663.086711
0.674332   1652.278491
0.675082   1685.211800
0.675832   1695.697671
0.676582   1690.386941
0.677332   1726.253372
0.678082   1721.663750
0.678832   1759.563819
0.679582   1862.190820
0.680332   1913.504939
0.681082   1910.143028
0.681832   1922.028336
0.682582   1881.251795
0.683332   2008.919385
0.684082   1989.917918
0.684832   2070.042494
0.685582   2103.287441
0.686332   2091.276155
0.687082   2104.352696
0.687832   2108.983192
0.688582   2122.038061
0.689332   2166.332472
0.690082   2394.541638
0.690832   2442.956025
0.691582   2430.405342
0.692332   2439.534532
0.693082   2496.260217
0.693832   2589.556161
0.694582   2801.886087
0.695332   2792.877429
0.696082   2877.795798
0.696832   2995.391336
0.697582   2927.864376
0.698332   2953.546056
0.699082   2957.418286
0.699832   2940.433302
0.700582   2959.842454
0.701332   3000.403747
0.702082   2997.003635
0.702832   2984.099458
0.703582   3016.919161
0.704332   2990.568143
0.705082   3012.431014
0.705832   3034.277289
0.706582   3034.363174
0.707332   3052.659260
0.708082   3039.685140
0.708832   3036.471702
0.709582   3040.597521
0.710332   3023.097312
0.711082   3031.499054
0.711832   3012.653136
0.712582   3037.955263
0.713332   3015.540863
0.714082   3012.660142
0.714832   3026.064434
0.715582   3007.176166
0.716332   3027.071073
0.717082   3018.302288
0.717832   3020.987774
0.718582   3013.598585
0.719332   3020.090250
0.720082   2995.138407
0.720832   3004.479986
0.721582   3018.343308
0.722332   2983.048755
0.723082   2917.668486
0.723832   2921.818386
0.724582   2974.298330
0.725332   2907.533387
0.726082   2908.097910
0.726832   3007.888800
0.727582   2978.602455
0.728332   2920.114950
0.729082   2910.278488
0.729832   2914.540264
0.730582   2982.385926
0.731332   2919.514667
0.732082   2709.666074
0.732832   2722.264074
0.733582   2720.727125
0.734332   2617.925030
0.735082   2482.238941
0.735832   1459.877123
0.736582   1767.529236
0.737332   1731.456719
0.738082   1595.217151
0.738832   1550.359749
0.739582   1498.874208
0.740332   1513.179391
0.741082   1418.072868
0.741832   1322.836438
0.742582   1275.348524
0.743332   1220.354752
0.744082   nan
0.744832   nan
0.745582   nan
0.746332   nan
0.747082   nan
0.747832   nan
0.748582   nan
0.749332   nan
0.750082   nan
0.750832   nan
0.751582   nan
0.752332   nan
0.753082   nan
0.753832   nan
0.754582   nan
0.755332   nan
0.756082   nan
0.756832   nan
0.757582   nan
0.758332   nan
0.759082   nan
0.759832   nan
0.760582   nan
0.761332   nan
0.762082   nan
0.762832   nan
0.763582   nan
0.764332   nan
0.765082   nan
0.765832   nan
0.766582   nan
0.767332   nan
0.768082   nan
0.768832   nan
0.769582   nan
0.770332   nan
0.771082   nan
0.771832   nan
0.772582   nan
0.773332   nan
0.774082   nan
0.774832   nan
0.775582   nan
0.776332   nan
0.777082   nan
0.777832   nan
0.778582   nan
0.779332   nan
0.780082   nan
0.780832   nan
0.781582   nan
0.782332   nan
0.783082   nan
0.783832   nan
0.784582   nan
0.785332   nan
0.786082   nan
0.786832   nan
0.787582   nan
0.788332   nan
0.789082   nan
0.789832   nan
0.790582   nan
0.791332   nan
0.792082   nan
0.792832   nan
0.793582   nan
0.794332   nan
0.795082   nan
0.795832   nan
0.796582   nan
0.797332   nan
0.798082   nan
0.798832   nan
0.799582   nan
0.800332   nan
0.801082   nan
0.801832   nan
0.802582   nan
0.803332   nan
0.804082   nan
0.804832   nan
0.805582   nan
0.806332   nan
0.807082   nan
0.807832   nan
0.808582   nan
0.809332   nan
0.810082   nan
0.810832   nan
0.811582   nan
0.812332   nan
0.813082   nan
0.813832   nan
0.814582   nan
0.815332   nan
0.816082   nan
0.816832   nan
0.817582   nan
0.818332   1164.632151
0.819082   1242.294756
0.819832   1251.914011
0.820582   1298.839400
0.821332   1331.818861
0.822082   1347.824501
0.822832   1359.466213
0.823582   1386.264676
0.824332   1441.834659
0.825082   1431.459134
0.825832   1511.767798
0.826582   1529.152966
0.827332   1563.863457
0.828082   1612.670273
0.828832   1584.605699
0.829582   1631.747955
0.830332   1634.470300
0.831082   1662.887157
0.831832   1732.580723
0.832582   1701.934135
0.833332   1741.716761
0.834082   1835.097972
0.834832   1879.024542
0.835582   1899.097507
0.836332   1918.444949
0.837082   1964.999262
0.837832   1909.255995
0.838582   1889.264645
0.839332   1972.876852
0.840082   1988.458188
0.840832   1945.701623
0.841582   2012.386142
0.842332   2008.860782
0.843082   2043.563036
0.843832   2043.997537
0.844582   2089.567266
0.845332   2045.854209
0.846082   2070.263729
0.846832   2062.558612
0.847582   2080.118800
0.848332   2115.857793
0.849082   2188.506054
0.849832   2332.615090
0.850582   2366.510907
0.851332   2336.626166
0.852082   2330.881642
0.852832   2461.428860
0.853582   2594.282649
0.854332   2793.030866
0.855082   2789.592819
0.855832   2788.979224
0.856582   2841.739995
0.857332   2968.250527
0.858082   2900.482960
0.858832   2915.839817
0.859582   2916.359794
0.860332   2914.516967
0.861082   2947.012406
0.861832   2999.758519
0.862582   2971.546987
0.863332   2970.224490
0.864082   2978.634544
0.864832   2933.462034
0.865582   2950.662598
0.866332   3042.809403
0.867082   3014.890843
0.867832   2980.724054
0.868582   3005.682972
0.869332   2975.660593
0.870082   2975.531036
0.870832   2999.974306
0.871582   2958.993678
0.872332   2975.002258
0.873082   2982.931077
0.873832   2944.865440
0.874582   2975.071924
0.875332   2957.451253
0.876082   2961.921301
0.876832   2943.936685
0.877582   2942.808615
0.878332   2966.185663
0.879082   2943.515623
0.879832   2959.518456
0.880582   2931.414458
0.881332   2945.840391
0.882082   2945.367870
0.882832   2951.597688
0.883582   2959.316363
0.884332   2923.950919
0.885082   2931.305986
0.885832   2934.874953
0.886582   2901.540081
0.887332   2867.600201
0.888082   2857.141080
0.888832   2804.497057
