Time_s   F0_Hz
1.977832   nan
1.978582   nan
1.979332   nan
1.980082   nan
1.980832   nan
1.981582   nan
1.982332   nan
1.983082   nan
1.983832   nan
1.984582   nan
1.985332   nan
1.986082   nan
1.986832   nan
1.987582   nan
1.988332   nan
1.989082   nan
1.989832   nan
1.990582   nan
1.991332   nan
1.992082   nan
1.992832   nan
1.993582   nan
1.994332   nan
1.995082   1153.005909
1.995832   1175.370647
1.996582   1227.779507
1.997332   1301.678844
1.998082   1339.281448
1.998832   1370.711898
1.999582   1386.857630
2.000332   1407.834216
2.001082   1466.064648
2.001832   1511.818302
2.002582   1540.057317
2.003332   1590.867423
2.004082   1607.523745
2.004832   1611.844994
2.005582   1664.345428
2.006332   1833.423592
2.007082   2006.955469
2.007832   1861.788632
2.008582   1991.081887
2.009332   2061.788655
2.010082   2037.376676
2.010832   1967.778704
2.011582   2058.431972
2.012332   2014.602224
2.013082   2100.486544
2.013832   2023.959405
2.014582   2054.862219
2.015332   2047.101460
2.016082   2061.293888
2.016832   2110.267546
2.017582   2134.496041
2.018332   2225.552387
2.019082   2462.076906
2.019832   2609.958302
2.020582   2717.027483
2.021332   2764.867095
2.022082   2757.899515
2.022832   2764.913389
2.023582   2788.157832
2.024332   2809.361821
2.025082   2811.037957
2.025832   2806.604633
2.026582   2825.855565
2.027332   2807.350281
2.028082   2815.525167
2.028832   2813.153181
2.029582   2807.005183
2.030332   2814.047396
2.031082   2815.238119
2.031832   2811.013564
2.032582   2853.830473
2.033332   2834.882678
2.034082   2848.998379
2.034832   2874.441411
2.035582   2844.053926
2.036332   2874.912330
2.037082   2871.919644
2.037832   2861.435255
2.038582   2918.149964
2.039332   2904.089941
2.040082   2924.569474
2.040832   3002.520540
2.041582   3008.010415
2.042332   3017.140283
2.043082   2991.959770
2.043832   2991.329141
2.044582   2985.683749
2.045332   3061.955680
2.046082   3129.285954
2.046832   3102.845844
2.047582   3032.370505
2.048332   3052.016169
2.049082   3102.961037
2.049832   3135.151881
2.050582   3124.055485
2.051332   3078.409617
2.052082   3087.319686
2.052832   3128.353036
2.053582   3110.509655
2.054332   3086.424367
2.055082   3108.023848
2.055832   3114.710455
2.056582   3053.323899
2.057332   2999.514265
2.058082   2950.130132
2.058832   2902.855014
2.059582   2887.770302
2.060332   2893.892686
2.061082   2893.751588
2.061832   2851.156601
2.062582   2819.822199
2.063332   2799.789365
2.064082   2789.719058
2.064832   2764.465231
2.065582   2706.910865
2.066332   2583.474493
2.067082   2407.479597
2.067832   2081.119379
2.068582   2283.275619
2.069332   1597.878827
2.070082   1651.743418
2.070832   1579.374097
2.071582   1533.360279
2.072332   1504.423566
2.073082   1503.792011
2.073832   1416.916500
2.074582   1357.638685
2.075332   1343.832256
2.076082   1305.633521
2.076832   1254.113493
2.077582   nan
2.078332   nan
2.079082   nan
2.079832   nan
2.080582   nan
2.081332   nan
2.082082   nan
2.082832   nan
2.083582   nan
2.084332   nan
2.085082   nan
2.085832   nan
2.086582   nan
2.087332   nan
2.088082   nan
2.088832   nan
2.089582   nan
2.090332   nan
2.091082   nan
2.091832   nan
2.092582   nan
2.093332   nan
2.094082   nan
2.094832   nan
2.095582   nan
2.096332   nan
2.097082   nan
2.097832   nan
2.098582   nan
2.099332   nan
2.100082   nan
