Time_s,F0_Hz
0.920895,nan
0.921645,nan
0.922395,nan
0.923145,1003.882158
0.923895,1005.879277
0.924645,1012.588496
0.925395,1032.592520
0.926145,1036.100417
0.926895,1035.198852
0.927645,1102.211029
0.928395,1234.976691
0.929145,1351.088984
0.929895,1448.786581
0.930645,1522.945597
0.931395,1567.078983
0.932145,1618.145894
0.932895,1673.150148
0.933645,1730.092663
0.934395,1750.977922
0.935145,1780.992168
0.935895,1863.044448
0.936645,1842.945184
0.937395,1902.036310
0.938145,1969.127056
0.938895,2032.094958
0.939645,2100.262549
0.940395,2124.798160
0.941145,2160.638556
0.941895,2168.858732
0.942645,2223.789260
0.943395,2235.060157
0.944145,2200.579471
0.944895,2271.610776
0.945645,2276.442181
0.946395,2292.872364
0.947145,2357.783261
0.947895,2333.243172
0.948645,2447.502352
0.949395,2349.564659
0.950145,2303.822501
0.950895,2356.020782
0.951645,2451.105709
0.952395,2438.878600
0.953145,2413.537210
0.953895,2414.373238
0.954645,2314.365037
0.955395,2458.367597
0.956145,2436.015299
0.956895,2320.964348
0.957645,2384.774647
0.958395,2382.057028
0.959145,2448.016913
0.959895,2454.693819
0.960645,2560.227388
0.961395,2730.970259
0.962145,3036.081168
0.962895,2992.176330
0.963645,nan
0.964395,nan
0.965145,nan
0.965895,nan
0.966645,nan
0.967395,nan
0.968145,nan
0.968895,nan
0.969645,nan
0.970395,nan
0.971145,nan
0.971895,nan
0.972645,3036.570213
0.973395,2878.109410
0.974145,2717.320305
0.974895,2403.893588
0.975645,2261.499029
0.976395,1968.867886
0.977145,1940.474328
0.977895,2041.367159
0.978645,2072.023129
0.979395,2080.253222
0.980145,2125.811944
0.980895,2149.172397
0.981645,2175.460763
0.982395,2210.241272
0.983145,2242.695162
0.983895,2236.156541
0.984645,2302.433153
0.985395,2315.712057
0.986145,2283.559837
0.986895,2339.604373
0.987645,2385.224386
0.988395,2387.203982
0.989145,2437.430865
0.989895,2481.965154
0.990645,2478.788448
0.991395,2524.846899
0.992145,2584.354508
0.992895,2747.340382
0.993645,2993.600185
0.994395,2978.777718
0.995145,2959.963859
0.995895,2943.921553
0.996645,3035.835329
0.997395,3055.230169
0.998145,3002.442007
0.998895,3095.332985
0.999645,nan
1.000395,nan
1.001145,nan
1.001895,nan
1.002645,nan
1.003395,3300.322648
1.004145,3399.830464
1.004895,3473.847438
1.005645,3363.032606
1.006395,2838.551865
1.007145,2369.062726
1.007895,2224.279836
1.008645,2170.169404
1.009395,2183.507775
1.010145,2188.638756
1.010895,2166.620437
1.011645,2153.336990
1.012395,2156.847468
1.013145,2155.848543
1.013895,2159.485186
1.014645,2174.625113
1.015395,2168.961474
1.016145,2159.336193
1.016895,2167.687058
1.017645,2135.430385
1.018395,2111.613955
1.019145,2080.408218
1.019895,2013.090093
1.020645,1952.886051
1.021395,1844.023284
1.022145,1769.861964
1.022895,1714.097332
1.023645,1646.289603
1.024395,1572.999714
1.025145,1541.600110
1.025895,1590.032089
1.026645,1167.181907
1.027395,1138.198253
1.028145,1136.428632
1.028895,nan
1.029645,nan
1.030395,nan
1.031145,nan
